sample_number,cores,matrix_size,time
1,1,5000,4m18.501362947s
2,1,5000,4m18.0066425s
3,1,5000,4m18.097863456s
4,1,5000,4m17.984684167s
5,1,5000,4m17.953532849s
6,1,5000,4m18.772490724s
7,1,5000,4m18.629848035s
8,1,5000,4m18.065521048s
9,1,5000,4m18.650583637s
10,1,5000,4m18.137047479s
11,1,5000,4m18.208038541s
12,1,5000,4m18.086451999s
13,1,5000,4m18.111315143s
14,1,5000,4m18.156327244s
15,1,5000,4m18.126996813s
16,1,5000,4m18.848479364s
17,1,5000,4m18.07115835s
18,1,5000,4m18.123919464s
19,1,5000,4m18.165527758s
20,1,5000,4m18.212865735s
21,1,5000,4m18.132205077s
22,1,5000,4m18.691506678s
23,1,5000,4m18.126822103s
24,1,5000,4m18.08804049s
25,1,5000,4m18.471524969s
26,1,5000,4m18.17080093s
27,1,5000,4m18.594536244s
28,1,5000,4m18.139425557s
29,1,5000,4m18.19602107s
30,1,5000,4m18.149113929s
31,1,5000,4m18.038208813s
